epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
66,19167.1,0.63785,0.48593,1.04639,0.86491,0.8254,0.86664,0.65801,0.90552,0.75807,1.30191,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565
67,19457,0.63323,0.46945,1.04504,0.88181,0.82063,0.86666,0.65797,0.92662,0.76806,1.31603,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
68,19746.5,0.63127,0.47279,1.04379,0.87222,0.82577,0.86484,0.66065,0.90995,0.75852,1.29661,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367
69,20037.2,0.61498,0.46023,1.03387,0.8875,0.80897,0.86854,0.65947,0.89856,0.8398,1.29082,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
70,20327,0.60463,0.45453,1.02368,0.88566,0.80705,0.86602,0.66388,0.89062,0.77753,1.27637,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169
71,20617.3,0.59611,0.44171,1.02266,0.88846,0.82081,0.86696,0.65806,0.88735,0.7415,1.28207,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
72,20908.2,0.60004,0.44732,1.02441,0.88004,0.82543,0.86794,0.65397,0.89667,0.7724,1.29668,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971
73,21198.2,0.58989,0.43552,1.01919,0.89859,0.80155,0.86597,0.65998,0.89392,0.7871,1.29132,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
74,21488.1,0.57928,0.43352,1.0162,0.88597,0.82411,0.86602,0.6636,0.89319,0.7476,1.28834,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773
75,21779,0.57711,0.42754,1.01367,0.88302,0.82538,0.86957,0.66289,0.89594,0.78246,1.29421,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674
76,22069.4,0.56869,0.42079,1.00642,0.89739,0.8026,0.8688,0.6584,0.9031,0.7859,1.30958,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575
77,22359.6,0.57218,0.42111,1.00922,0.89536,0.79907,0.86474,0.65937,0.89842,0.79171,1.29563,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476
78,22649.7,0.5601,0.40768,1.00193,0.89234,0.80377,0.86793,0.66253,0.90119,0.83451,1.29734,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377
79,22940.3,0.55399,0.40669,1.00479,0.90385,0.78984,0.86686,0.66356,0.89999,0.83062,1.28799,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278
80,23229.9,0.55624,0.41229,1.00156,0.88569,0.8085,0.86738,0.66447,0.90225,0.76234,1.30329,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179
81,23521.3,0.5457,0.39441,0.99518,0.87953,0.81103,0.86586,0.66174,0.90544,0.74935,1.30818,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
82,23812.3,0.54315,0.39326,0.99253,0.88635,0.81676,0.86824,0.66574,0.89645,0.74448,1.30396,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981
83,24102.2,0.55468,0.40778,1.01079,0.89102,0.80073,0.86375,0.65966,0.89852,0.75299,1.3061,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882
84,24392,0.53311,0.38716,0.99313,0.89312,0.79875,0.86557,0.6602,0.8985,0.75897,1.3022,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783
85,24682.8,0.52509,0.38254,0.99372,0.89941,0.79776,0.8644,0.66197,0.89771,0.75233,1.30358,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684
86,24973.2,0.52065,0.3781,0.98271,0.90133,0.80593,0.86826,0.6656,0.89686,0.74323,1.31322,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585
87,25263.4,0.51429,0.37822,0.98578,0.88738,0.81378,0.86884,0.66325,0.89419,0.74305,1.31466,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486
88,25552.5,0.51837,0.37242,0.99081,0.8736,0.8203,0.86428,0.66284,0.89354,0.74112,1.31967,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387
89,25843.1,0.50324,0.3695,0.97864,0.87725,0.81747,0.86099,0.6616,0.892,0.74147,1.31794,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288
90,26133.7,0.49674,0.35741,0.97458,0.88496,0.81699,0.86221,0.66238,0.89122,0.75406,1.3165,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189
91,26425,0.41795,0.267,0.89967,0.88834,0.80625,0.86429,0.66207,0.88656,0.75701,1.31778,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
92,26716.2,0.41022,0.26142,0.89831,0.89155,0.79264,0.86213,0.66271,0.87883,0.73967,1.30971,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991
